#RV data for 51 Peg downloaded from 
#http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/153/138/table1&-out.max=50&-out.form=HTML%20Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa
#The RV measurements were converted from m/s to km/s
#Original vizier information is given at the end of the file
#
#---------------- --------------- ----------- ------
#BJD (d)          RV (km/s)        e_RV (km/s)  Spectrograph  
#---------------- --------------- ----------- ------
2450041.61729 -0.00401 0.00248 Lick13
2450041.68661 -0.00498 0.00234 Lick13
2450041.71005 -0.00795 0.00243 Lick13
2450041.73251 -0.00424 0.00234 Lick13
2450041.75496 -0.00362 0.00303 Lick13
2450043.6347 0.07615 0.0025 Lick13
2450043.65911 0.06373 0.00249 Lick13
2450044.6395 -0.01355 0.00237 Lick13
2450044.6639 -0.01767 0.00223 Lick13
2450045.59645 -0.01619 0.00247 Lick13
2450045.62281 -0.02221 0.00241 Lick13
2450046.66959 0.05319 0.00309 Lick13
2450046.6901 0.04805 0.00309 Lick13
2450046.71451 0.06342 0.00271 Lick13
2450046.73795 0.05022 0.00266 Lick13
2450048.64624 0.00886 0.00356 Lick13
2450048.66888 -0.00847 0.00365 Lick13
2450048.7508 -0.01127 0.00522 Lick13
2450048.77901 -0.00055 0.00532 Lick13
2450058.58066 -0.01303 0.00186 Lick13
2450058.61191 -0.0093 0.00407 Lick13
2450068.67056 0.09492 0.00331 Lick13
2450068.694 0.08193 0.00295 Lick13
2450072.64676 0.07236 0.00183 Lick13
2450073.67108 0.03039 0.00288 Lick13
2450086.72852 0.0018 0.00277 Lick13
2450087.58783 -0.03255 0.00239 Lick13
2450088.6102 0.01195 0.00187 Lick13
2450089.68335 0.07628 0.00185 Lick13
2450090.65983 0.02948 0.00221 Lick13
2450091.6119 -0.03042 0.00179 Lick13
2450182.02133 0.04335 0.00277 Lick13
2450215.96663 0.05771 0.0031 Lick13
2450215.98909 0.05745 0.00289 Lick13
2450224.98198 0.10602 0.01189 Lick13
2450224.99565 0.13282 0.02217 Lick13
2450231.97475 -0.02111 0.00452 Lick13
2450232.95432 0.06067 0.00382 Lick13
2450232.97776 0.05945 0.00352 Lick13
2450233.9964 0.07533 0.00392 Lick13
2450235.94091 -0.02244 0.00313 Lick13
2450235.96434 -0.02545 0.00306 Lick13
2450262.99308 0.07567 0.0015 Lick13
2450298.9284 -0.03732 0.00191 Lick13
2450304.89358 0.06087 0.0018 Lick13
2450326.90224 0.06669 0.00178 Lick13
2450441.65521 0.04109 0.00282 Lick13
2450610.97202 0.03967 0.00304 Lick13
2450611.95941 -0.03115 0.00246 Lick13
2450645.84608 -0.03877 0.00173 Lick13
2450655.92202 0.04329 0.00188 Lick13
2450793.61834 -0.02061 0.00182 Lick13
2453927.05243 0.05509211531 0.00052202 HIRES
2453982.84909 0.01480187339 0.0006334984 HIRES
2454085.79746 -0.05729100685 0.0006868045 HIRES
2454337.09318 0.04718309381 0.0012500095 HIRES
2454339.04799 -0.03904752822 0.0011982954 HIRES
2454398.8581 -0.05789155967 0.0012714902 HIRES
2454806.77007 0.04862869592 0.0013129176 HIRES
2454838.73161 -0.05620084816 0.0013453617 HIRES
2454964.12884 0.03780455457 0.0011732244 HIRES
2454984.09954 0.02764382173 0.0011647831 HIRES
2454985.11786 0.04439449569 0.0010462172 HIRES
2454986.1188 -0.03279088647 0.001088786 HIRES
2454987.11868 -0.05319144435 0.0010804609 HIRES
2454988.11958 0.01989239292 0.0012001196 HIRES
2454989.11454 0.04824799522 0.0010594391 HIRES
2455015.05422 0.02387796743 0.0010308858 HIRES
2455016.06847 -0.04996094516 0.0009537257 HIRES
2455019.02184 0.04290030002 0.0012330184 HIRES
2455027.03177 0.05567071062 0.0011135056 HIRES
2455041.93029 -0.05290433523 0.001276032 HIRES
2455078.08321 0.04696600997 0.0011152307 HIRES
2455106.76551 0.03117858304 0.0013677191 HIRES
2455135.72721 -0.01894728185 0.001278372 HIRES
2455189.68936 -0.05632270804 0.0012739928 HIRES
2455190.69351 -0.02371203582 0.0013843373 HIRES
2455192.68788 0.02983850068 0.0012865962 HIRES
2455379.09687 0.00866639615 0.0010874784 HIRES
2455404.93073 -0.02727082484 0.0013252178 HIRES
2455435.04776 -0.05264028997 0.0012133979 HIRES
2455704.08126 0.0495836934 0.0010819632 HIRES
2455729.11084 0.04840973628 0.0011799353 HIRES
2455732.0288 -0.03765924088 0.0007907495 HIRES
2455753.0742 -0.04834178811 0.0010974315 HIRES
2455782.86091 -0.03091009879 0.0012748557 HIRES
2455841.78335 -0.05272603793 0.0013422503 HIRES
2456077.12984 0.01173617948 0.0011011044 HIRES
2456477.10493 -0.00488480116 0.001217959 HIRES
2456529.88589 0.01163455714 0.0011928341 HIRES
2456584.74135 0.0200531846 0.0013498826 HIRES
2456639.68289 0.02181288785 0.0012224709 HIRES
2456847.92616 -0.05410112957 0.0010869322 HIRES
2456565.59183 -33.1812371352 0.00022802804 HARPS
2456565.71292 -33.1725966351 0.00018685585 HARPS
